title,address,totalScore,categories,location,Jarak_KampusC,Jarak_KampusB,Jarak_KampusA
Bakso Pak Djo,"Jl. Manyar Tirtoasri XII No.2, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.5,Restoran Bakso Kedai Sarapan,"{'lat': -7.2878148, 'lng': 112.7682769}",2.7163853935719544,1.8372706923731046,1.4712095149628717
Bakso Daging Sapi P.Sabar,"Jl. Karang Menjangan No.56, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.6,Restoran Bakso Rumah Makan,"{'lat': -7.27131, 'lng': 112.760384}",2.6990539537056852,0.9282925723577696,0.5724825069471917
Bakso Pak War,"PQ99+HRC, Jl. Manyar Kertoarjo III, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60116, Indonesia",4.4,Restoran Bakso,"{'lat': -7.2810587, 'lng': 112.769508}",2.107183701384966,1.087925806329876,0.9142915100825223
Bakso Pak Pek,"X., Kertajaya VIII Raya Blok A No.3, Kertajaya, Gubeng, Surabaya, East Java 60282, Indonesia",4.5,Restoran Bakso,"{'lat': -7.279377, 'lng': 112.7591654}",3.0253254158692497,1.3913823734380495,0.6356160794243638
Mie Ayam & Bakso Solo,"Jl. Gubeng Kertajaya VII H No.22, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.6,Restoran Bakso Restoran Mie,"{'lat': -7.2741253, 'lng': 112.7560296}",3.2113192026573634,1.4431902064693884,0.8272012816714839
Warung Tegal Gebang,"Jl. Gebang Lor No.01, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.3,Warung tegal,"{'lat': -7.280286, 'lng': 112.78965}",1.2929683360956556,2.507438313484621,2.943856964607264
Warung Fadhila,"PQ6X+6RJ, Jl. Keputih Gg. II Ps., Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.6,Restoran Jawa,"{'lat': -7.2894214, 'lng': 112.7995009}",2.7272963866169513,3.9404404033564124,4.272176459102038
Warung Pak Hasyim,"Jl. Barata Jaya XVII No.130, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",4.6,Restoran,"{'lat': -7.3051567, 'lng': 112.7607574}",4.751457392989162,3.867796721460077,3.3105349498240284
Warung Mak Ni,"Jl. Kejawan Putih Tambak No.32, Kejawaan Putih Tamba, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.5,Rumah Makan,"{'lat': -7.2754656, 'lng': 112.8009298}",1.8911120770667096,3.574069418323674,4.139531871689736
Warung Makan Tegal Aero,"Jl. Jojoran I No.2a, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.4,Warung tegal,"{'lat': -7.272211, 'lng': 112.761565}",2.578006671045703,0.8044293762384609,0.4179924583645371
Warung Mama Titik,"Jl. Jojoran I No.32, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.7,Restoran Prasmanan,"{'lat': -7.2723098, 'lng': 112.7629252}",2.430199348202642,0.6576511072062987,0.3585795178219092
Warung KANE,"Jl. KH. Ahmad Dahlan Keputih Perintis IV No.16A, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.8,Restoran,"{'lat': -7.2886082, 'lng': 112.8014116}",2.788836677862108,4.079530621311346,4.438748771858298
Warung Solo,"Jl. Kejawan Putih Tambak No.39, Kejawaan Putih Tamba, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.8,Warung nasi,"{'lat': -7.2757855, 'lng': 112.8013427}",1.9461001332559376,3.6239560712561167,4.185191812495551
Warung Ijo Menur Pumpungan,"PQ36+2X4, Gg. Masjid, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.5,Restoran Jawa,"{'lat': -7.2974783, 'lng': 112.7624462}",3.9521907234722486,2.9940710559551564,2.4461420801136677
Warung Nasi Gudeg Bu Arif Prasmanan,"Jl. Raya Menur No.31, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60286, Indonesia",4.5,Restoran Jawa Restoran Prasmanan Warung nasi,"{'lat': -7.2779499, 'lng': 112.7624716}",2.628126218735917,1.0168586589384654,0.2910276809693403
Warung Seafood Pucang,"Jl. Pucang Anom Tim. No.25c, Pucang Sewu, Kec. Gubeng, Surabaya, Jawa Timur 60283, Indonesia",4.5,Restoran Seafood Rumah Makan,"{'lat': -7.2853253, 'lng': 112.7560127}",3.6194991896154436,2.102732898855839,1.3629102870530567
Warung Gresik Mbak Vien,"Jl. Semolowaru No.14, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.6,Restoran Indonesia,"{'lat': -7.300347, 'lng': 112.7734308}",3.631194288390889,3.270019554270861,2.9761487237551463
Warung Rawon 48,"Jl. Manyar Sambongan No.48, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60282, Indonesia",4.7,Restoran Jawa Timur,"{'lat': -7.281273, 'lng': 112.7582204}",3.2017217088426064,1.6098083180644693,0.8593385665664246
Warung Sederhana Gebang Wetan,"Jl. Gebang Wetan No.1, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.8,Restoran,"{'lat': -7.2806695, 'lng': 112.7887335}",1.2946193978780922,2.43300978228674,2.8527765494676967
Warung Leko Manyar,"Jl. Manyar Kertoarjo V No.9, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.6,Restoran Indonesia Restoran Jawa Timur Kedai Sup,"{'lat': -7.2775083, 'lng': 112.7659981}",2.248270985089966,0.7563535058097004,0.3633052406625737
Warung Lestari,"Jl. Karang Menjangan No.37, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.6,Restoran Jawa,"{'lat': -7.2680007, 'lng': 112.7609453}",2.637983837063941,0.9408562685631905,0.8767399964714355
Warung Kuning - Kalibokor,"Jl. Kalibokor Selatan, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",4.5,Restoran Jawa Kedai Sarapan Restoran Indonesia,"{'lat': -7.2877322, 'lng': 112.7624485}",3.177788124650252,1.9568787696820886,1.3642033343611903
Warung Bu Siswo,"Jl. Pucang Jajar Tengah No.65, RT.003/RW.01, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60282, Indonesia",4.6,Restoran Jawa Rumah Makan,"{'lat': -7.2835485, 'lng': 112.7609468}",3.048506322999143,1.6140872178388457,0.9349642961868811
Warung nasi jakarta,"Jl. Keputih Tegal Timur Baru I No.31ab, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.4,Warung nasi,"{'lat': -7.2942855, 'lng': 112.8086209}",3.7916796797700223,5.08169462926832,5.407493833477313
Warung Nanda,"No Semolowaru Utara I No.149, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.6,Restoran Jawa Rumah Makan,"{'lat': -7.2980669, 'lng': 112.7794796}",3.208383030834935,3.200964375954986,3.0728073359328865
Warung Bu Kris,"Jl. Manyar Kertoarjo IV No.23, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.5,Restoran Indonesia,"{'lat': -7.2777432, 'lng': 112.7653907}",2.3201570999310106,0.8091441435643458,0.3323088224728047
Warung Mak Eco,"Jl. Mulyorejo Selatan No.68, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60116, Indonesia",4.6,Restoran Jawa,"{'lat': -7.2780859, 'lng': 112.7773461}",1.243165298143984,1.2074433482390479,1.5648914255588846
Warung Emak Keputih,"Jl. KH. Ahmad Dahlan No.48, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.8,Restoran Indonesia,"{'lat': -7.2890043, 'lng': 112.8002679}",2.7419695459987046,3.990291900393573,4.334852372916973
Bakso Ambon Nginden,"MQW8+FG2, Jl. Nginden Permata Jl. Nginden Kota II, Jangkungan, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.7,Restoran Bakso Restoran Mie,"{'lat': -7.30387, 'lng': 112.766254}",4.315185378069533,3.632494483069288,3.170271143957509
Bakso Pak.No,"Jl. Manyar Sabrangan No.53, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60116, Indonesia",4.7,Restoran Bakso Rumah Makan,"{'lat': -7.2823222, 'lng': 112.7640603}",2.683825655828122,1.3324550323690305,0.7620831706456619
Bakso Merr99,"Jl. Semampir Tengah No.38, Medokan Semampir, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.5,Restoran Bakso,"{'lat': -7.3072864, 'lng': 112.7815193}",4.195057822829934,4.240306215096002,4.060365644700534
PRODUSEN BAKSO,"Jl. Nginden I No.23, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",5.0,Restoran Bakso,"{'lat': -7.3007494, 'lng': 112.7635012}",4.175977658391867,3.3263741023538618,2.807631246828878
