title,address,totalScore,categories,location
Nasi Goreng Jawa Bu Pardji,"PQ74+795, Jl. Kalibokor, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60283, Indonesia",4.5,['Restoran Nasi Goreng'],"{'lat': -7.286865, 'lng': 112.7559923}"
NASI GORENG RASA KAMPUNG,"Jl. Nginden I No.16, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.7,['Restoran Nasi Goreng'],"{'lat': -7.3004065, 'lng': 112.7633131}"
Nasi Campur Kertajaya Indah,"Jl. Dharmahusada No.50, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.4,"['Restoran Indonesia', 'Restoran Asia Tenggara']","{'lat': -7.2664634, 'lng': 112.7667817}"
Nasi Goreng Pak Karto,"Jl. Kalibokor Selatan No.168a, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",4.7,"['Restoran Nasi Goreng', 'Rumah Makan']","{'lat': -7.2876195, 'lng': 112.760628}"
Nasi goreng jawa BARATA bratang,"Jl. Bratang Gede Kalisumo No.155, Ngagelrejo, Kec. Wonokromo, Surabaya, Jawa Timur 60245, Indonesia",4.6,['Restoran'],"{'lat': -7.2982387, 'lng': 112.7556755}"
Depot nasi campur pojok tambak bayan,"San antonio shopping street, Jl. Kalisari Utara I No.115 I N, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.3,['Restoran'],"{'lat': -7.2654001, 'lng': 112.8061612}"
Nasi Goreng Cak Pi'i,"Pojok Timur, Jl. Dharmahusada, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.3,['Restoran Nasi Goreng'],"{'lat': -7.2682919, 'lng': 112.7741563}"
Nasi Goreng & Mie Goreng Cak Aris 02,"Jl. Arief Rahman Hakim No.40-39, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.8,"['Restoran Nasi Goreng', 'Restoran Mie']","{'lat': -7.2896443, 'lng': 112.7819869}"
Nasi Tempong Sri Dewi,"Jl. Kalisari Utara I No.62, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.4,['Restoran'],"{'lat': -7.265448, 'lng': 112.8048573}"
Nasi Goreng Bonek,"Jl. Raya Mulyosari No.240, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60113, Indonesia",4.7,"['Restoran Nasi Goreng', 'Rumah Makan']","{'lat': -7.2726227, 'lng': 112.7975133}"
Nasi kebuli La Tahzan khas Ampel cabang karmen,"Jl. Karang Menjangan No.45, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",5.0,"['Restoran Timur Tengah', 'Restoran Arab', 'Kedai Sarapan & Makan Siang', 'Warung nasi']","{'lat': -7.2683235, 'lng': 112.7609695}"
Mie Ayam Pak Tris dan Nasi Goreng Sebelahe Pak Tris,"Jl. Semolowaru No.11, RT.007/RW.02, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",5.0,"['Restoran', 'Restoran Nasi Goreng', 'Restoran Mie']","{'lat': -7.3001248, 'lng': 112.7735334}"
Nasi Goreng Pak Ndut,"Jl. Nginden Intan Tim. XIII No.30, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.4,"['Restoran Nasi Goreng', 'Rumah Makan']","{'lat': -7.3041385, 'lng': 112.7694469}"
Nasi goreng Cak To,"Gg. Pompa Air No.19, Kejawaan Putih Tamba, Kec. Mulyorejo, Surabaya, Jawa Timur 60111, Indonesia",5.0,"['Warung nasi', 'Restoran Nasi Goreng']","{'lat': -7.2849018, 'lng': 112.803453}"
"Nasi Goreng Master, Keputih","Jl. Arief Rahman Hakim No.102, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.6,['Restoran Nasi Goreng'],"{'lat': -7.2903444, 'lng': 112.7993702}"
Nasi goreng jawa Pak Dul,"Jl. Arief Rahman Hakim No.138-142, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.6,['Restoran Nasi Goreng'],"{'lat': -7.2902194, 'lng': 112.7995814}"
Nasi Goreng King,"MQXC+WCQ, Jl. Nginden Semolo, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.7,['Restoran Nasi Goreng'],"{'lat': -7.3001627, 'lng': 112.7711113}"
Depot Nasi Goreng Jakarta,"Jl. Gebang Wetan No.2, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.1,['Restoran Nasi Goreng'],"{'lat': -7.2810284, 'lng': 112.7887021}"
warung Nasi Goreng Pak Bro,"Jl. Mleto No.12 A, RT.002/RW.06, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",5.0,['Restoran Nasi Goreng'],"{'lat': -7.2820425, 'lng': 112.7723101}"
Mie Ayam Nusantara,"Jl. Gebang Lor No.71, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.7,"['Restoran Mie', 'Restoran Indonesia', 'Restoran Ramen']","{'lat': -7.2808189, 'lng': 112.7881131}"
Mie Gacoan - Manyar Kertoarjo 3,"Jl. Manyar Kertoarjo III No.109, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60285, Indonesia",4.6,['Restoran Mie'],"{'lat': -7.2811363, 'lng': 112.77174}"
Mie Oke - Keputih Tegal,"Jl. Keputih Tegal Timur, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.7,"['Restoran Mie', 'Toko Makanan', 'Restoran Makanan Cepat Saji Ala Hong Kong']","{'lat': -7.291629, 'lng': 112.8079349}"
Mie Ayam Cak Wi,"Jl. Keputih Tegal No.53, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.9,['Restoran Mie'],"{'lat': -7.2909341, 'lng': 112.8013919}"
Pangsit Mie & Bakwan Mentari,"Jl. Semampir Utara No.42, RT.007/RW.02, Medokan Semampir, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.6,"['Restoran Mie', 'Restoran Bakso']","{'lat': -7.3057246, 'lng': 112.7787932}"
Mie Ayam Putri Kembar,"Jl. Semampir Utara No.48, RT.007/RW.02, Medokan Semampir, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.8,['Restoran Mie'],"{'lat': -7.307059, 'lng': 112.7786225}"
Mie Toree,"Ruko Klampis Jaya, Jl. Klampis Jaya No.A-2, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60116, Indonesia",4.4,['Restoran Mie'],"{'lat': -7.2893635, 'lng': 112.7755664}"
Pangsit Mie Ayam Jakarta Gebang Putih,"Jl. Gebang Putih No.80A, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.5,"['Restoran Mie', 'Restoran Dim Sum']","{'lat': -7.2823374, 'lng': 112.7858515}"
Mie Gacoan - Ir Soekarno,"Jl. Dr. Ir. H. Soekarno No.125, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.9,['Restoran Mie'],"{'lat': -7.2650132, 'lng': 112.7827498}"
Mie Ayam Bengawan,"Jl. Mulyorejo Barat No.35, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.7,['Restoran Mie'],"{'lat': -7.2681076, 'lng': 112.775471}"
Mie Rajawali,"Jl. Semolowaru Utara VI No No.10RJ, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",5.0,['Restoran Mie'],"{'lat': -7.2991937, 'lng': 112.7789521}"
Pangsit Mie Ayam Jakarta Klampis,"Jl. Klampis Ngasem Gg. Masjid No.23 F, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.6,"['Restoran Mie', 'Restoran Dim Sum']","{'lat': -7.2860144, 'lng': 112.7757481}"
Ada Apa Dengan Kopi (AADK),"Jl. Arief Rahman Hakim No.181, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.7,"['Kedai Kopi', 'Kafe', 'Toko kopi', 'Restoran']","{'lat': -7.289975, 'lng': 112.7882303}"
KOPI BUJEND,"Jl. Dharmahusada Utara No.11, RT.007/RW.02, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.7,['Kedai Kopi'],"{'lat': -7.2664116, 'lng': 112.7714516}"
Kopi Titik Koma - San Antonio,"Jl. Kalisari Utara I No.92, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.8,['Kedai Kopi'],"{'lat': -7.2652968, 'lng': 112.8053259}"
Biji Kopi,"Jl. Keputih Tegal Timur No.21, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.6,"['Kafe', 'Toko kopi']","{'lat': -7.292357, 'lng': 112.8112362}"
PAPER CUP COFFEE MANYAR,"Jl. Manyar Kertoarjo No.75, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60116, Indonesia",4.7,['Kedai Kopi'],"{'lat': -7.280087, 'lng': 112.7704779}"
Kopi Giras 71,"Jl. Kejawan Putih Tambak No.14, Kejawaan Putih Tamba, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.6,['Kedai Kopi'],"{'lat': -7.2839057, 'lng': 112.8025813}"
TYE Coffee House,"Jl. Semolo Waru No.4, Medokan Semampir, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.5,"['Kedai Kopi', 'Kafe']","{'lat': -7.3045904, 'lng': 112.7967031}"
Kopi Konnichiwa Dharmahusada,"Jl. Dharmahusada Indah Bar. No.I 3G, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.7,"['Kedai Kopi', 'Kafe', 'Mesin Sangrai Kopi', 'Kafe Anjing']","{'lat': -7.2695434, 'lng': 112.772874}"
Kopi Kuto,"Jl. Klampis Semolo Timur XII No.10A, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.9,['Kedai Kopi'],"{'lat': -7.2990407, 'lng': 112.7804556}"
Kopi Kenangan - The Avenue MERR,"Jl. Semolowaru Timur II No.5-45, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.3,['Kedai Kopi'],"{'lat': -7.3021415, 'lng': 112.7812616}"
kopi bonsai,"Medokan Baru Ii No.1, Medokan Semampir, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.8,['Kedai Kopi'],"{'lat': -7.3093725, 'lng': 112.7763999}"
RKM noodle house & coffee,"San antonio shopping street N1, pakuwon city NO :123, Surabaya, Jawa Timur, Indonesia",4.9,['Kedai Kopi'],"{'lat': -7.2652785, 'lng': 112.8063402}"
KEDAI KOPI SUPER,"Jl. Klampis Semolo No.39, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.7,['Kedai Kopi'],"{'lat': -7.2968936, 'lng': 112.7797832}"
Kedai Tentrem,"Jl. Mulyorejo Selatan Baru No.49, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.9,['Kedai Kopi'],"{'lat': -7.2780317, 'lng': 112.7762132}"
Titik Terang Kopi,"Jl. Raya Mulyosari No.111-115, RT.001/RW.04, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.7,"['Kedai Kopi', 'Kafe', 'Kios']","{'lat': -7.2653514, 'lng': 112.7959699}"
Kampung Kopi,"Jl. Mulyorejo Tengah No.60, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.3,"['Kedai Kopi', 'Area Wi-Fi']","{'lat': -7.2674646, 'lng': 112.7786545}"
Asana kopi,"Ruko Manyar garden, Jl. Nginden Semolo No.101/26, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.7,"['Kedai Kopi', 'Kafe']","{'lat': -7.2998013, 'lng': 112.7715434}"
Pangsit Mie UP Pak Tatung,"Jl. Barata Jaya XIX No.85, RT.009/RW.03, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",4.5,"['Restoran Mie', 'Restoran Dim Sum', 'Pujasera']","{'lat': -7.3039962, 'lng': 112.7591662}"
Mie Pangsit Nginden Raya Khas Makasar,"Jl. Raya Nginden No.109, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60284, Indonesia",4.7,"['Restoran Mie', 'Restoran Dim Sum', 'Restoran Halal', 'Restoran Indonesia']","{'lat': -7.3041446, 'lng': 112.762377}"
Mie Ayam Puas,"Jl. Kalidami No.30a, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.5,['Restoran Mie'],"{'lat': -7.2749834, 'lng': 112.7640219}"
Pangsit Mie Ujung Pandang (BABI),"Jl. Raya Nginden No.131, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.6,['Restoran Mie'],"{'lat': -7.3048629, 'lng': 112.7623239}"
Mie Ayam Jakarta PAK DOEL,"Jl. Karang Menjangan No.76, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.6,['Restoran Mie'],"{'lat': -7.2719923, 'lng': 112.7609044}"
Mie Goreng Jawa,"Jl. Kalibokor No.46, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60282, Indonesia",4.6,"['Restoran Mie', 'Restoran Jawa']","{'lat': -7.2868782, 'lng': 112.7559971}"
MIE AYAM KARE MAS ODIE,"Jl. Karang Menjangan No.71, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.6,['Restoran Mie'],"{'lat': -7.2694651, 'lng': 112.7609821}"
Pangsit Mie Ayam Jakarta Depot Rizky,"Nomor, Jl. Ngagel Jaya Selatan No.0, Pucang Sewu, Kec. Gubeng, Surabaya, Jawa Timur 60283, Indonesia",4.7,['Restoran Mie'],"{'lat': -7.2953732, 'lng': 112.7612481}"
Pangsit Mie Up Pak Kumis,"Jl. Ngagel Jaya No.66, Pucang Sewu, Kec. Gubeng, Surabaya, Jawa Timur 60283, Indonesia",4.7,['Restoran Mie'],"{'lat': -7.2910356, 'lng': 112.7555044}"
Mie Ayam 5000 - Kertajaya,"Jl. Kertajaya No.258, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60282, Indonesia",3.8,['Restoran Mie'],"{'lat': -7.2795628, 'lng': 112.7620038}"
Warung nasi budhe,"Jl. Nginden VI No.17 A, RT.005/RW.04, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.4,['Warung nasi'],"{'lat': -7.302111, 'lng': 112.765989}"
Warung Nasi Shofi,"Jl. Nginden Semolo Jalur Gaza No.42, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",5.0,"['Warung nasi', 'Rumah Makan']","{'lat': -7.3001465, 'lng': 112.7663065}"
Nasi Padang Uda Wandi 2 Surabaya,"Jl. Gubeng Kertajaya IX Raya No.78, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60281, Indonesia",4.4,"['Restoran Padang', 'Restoran']","{'lat': -7.274429, 'lng': 112.757606}"
Nasi Pecel Safira,"Jl. Srikana No.6-2, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.7,['Warung nasi'],"{'lat': -7.2739984, 'lng': 112.7573553}"
Nasi Padang Uda Wandi Surabaya,"Jl. Srikana Tim. No.4, RW.6, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.3,['Restoran Padang'],"{'lat': -7.2741543, 'lng': 112.7588057}"
"WARUNG Nasi Campur ""bu sri klampis""","Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.0,['Warung nasi'],"{'lat': -7.2896475, 'lng': 112.773613}"
Nasi Goreng Kantor Pos Pucang,"Jl. Pucang Rinenggo No.41-53, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60282, Indonesia",4.3,['Restoran Nasi Goreng'],"{'lat': -7.2836898, 'lng': 112.7561037}"
Nasi goreng 88,"PQH7+2Q2, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.8,"['Restoran Keluarga', 'Restoran Nasi Goreng']","{'lat': -7.2724893, 'lng': 112.764404}"
Kopi Kakak - Pucang Anom Timur,"Jl. Pucang Anom Tim. No.48, Pucang Sewu, Kec. Gubeng, Surabaya, Jawa Timur 60282, Indonesia",4.5,['Kedai Kopi'],"{'lat': -7.2848976, 'lng': 112.755551}"
Toko Kopi Berkah Jaya,"Komplek Ruko Bratang, Jl. Barata Jaya No.59B 8, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",4.4,['Kedai Kopi'],"{'lat': -7.2985922, 'lng': 112.7603652}"
Kopilaborasi,"Jl. Ngagel Jaya Utara No.66, Pucang Sewu, Kec. Gubeng, Surabaya, Jawa Timur 60283, Indonesia",4.7,['Kedai Kopi'],"{'lat': -7.2893849, 'lng': 112.7573433}"
Pukul Satu Kopi - Dharmawangsa,"Jl. Dharmawangsa No.142a, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.7,"['Kedai Kopi', 'Kafe']","{'lat': -7.2767447, 'lng': 112.7557838}"
Toko Kopi Karmen,"Jl. Karang Menjangan No.52, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.9,['Kedai Kopi'],"{'lat': -7.271078, 'lng': 112.7603459}"
Kopi Vator,"No Jl. Pucang Anom Timur III No.7, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60282, Indonesia",4.7,"['Kedai Kopi', 'Kafe']","{'lat': -7.2854109, 'lng': 112.7564644}"
Katalokopi,"Jl. Raya Menur No.29E, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60116, Indonesia",4.6,['Kafe'],"{'lat': -7.277719, 'lng': 112.762609}"
Kopi Kenangan - Ruko Ngagel,"Ruko, Jl. Ngagel Tim. Jl. Ngagel Jaya Selatan No.4, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",4.6,['Kedai Kopi'],"{'lat': -7.293886, 'lng': 112.760666}"
Toko Kopi Sepakat Gubeng,"Jl. Gubeng Kertajaya VII C No.22, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.5,"['Kedai Kopi', 'Toko kopi']","{'lat': -7.2764639, 'lng': 112.7557743}"
"Mie Ayam Jamboel ""Spesial : Telur, Ceker , Kepala "".","Jl. Nginden Semolo No.58, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.5,"['Restoran Mie', 'Rumah Makan', 'Warung Makanan Kecil']","{'lat': -7.300121, 'lng': 112.7678766}"
"Mie Ayam BAROKAH ""PAK SUMALI""","Jl. Menur III No.1, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.6,"['Restoran Mie', 'Rumah Makan']","{'lat': -7.2877371, 'lng': 112.7644716}"
Depot Nain,"PQ46+8G6, Jl. Ngagel Jaya Selatan, Pucang Sewu, Kec. Gubeng, Surabaya, Jawa Timur 60283, Indonesia",4.6,"['Restoran Mie', 'Rumah Makan']","{'lat': -7.2942134, 'lng': 112.761262}"
"PANGSIT MIE AYAM JAKARTA ""CAK SUR""","PQG7+236, Jl. Kalidami, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.6,['Restoran Mie'],"{'lat': -7.2749618, 'lng': 112.7626265}"
Pangsit Mie Makassar,"Jl. Barata Jaya XVII No.120, RT.02/RW.03, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",4.6,"['Restoran Mie', 'Restoran Nasi Goreng']","{'lat': -7.3052349, 'lng': 112.7610124}"
MIE GNI Jember,"Jl. Manyar Kertoarjo V No.73, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.5,"['Restoran Mie', 'Restoran Bakso']","{'lat': -7.2793095, 'lng': 112.7657856}"
Depot Mie Kocok Aceh,"Jl. Pucang Jajar No.23, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60282, Indonesia",4.5,"['Restoran Mie', 'Restoran']","{'lat': -7.2851046, 'lng': 112.7601122}"
Mie Ayam Jakarta Bang Rudy,"Jl. Ngagel Jaya Selatan No.169, Pucang Sewu, Kec. Gubeng, Surabaya, Jawa Timur 60283, Indonesia",3.9,['Restoran Mie'],"{'lat': -7.2935806, 'lng': 112.760696}"
Pangsit Mie Ayam Pak No,"Jl. Pucang Jajar No.21, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60283, Indonesia",4.6,"['Restoran Mie', 'Makanan']","{'lat': -7.286026, 'lng': 112.7601394}"
Mie Ayam & Bakso Wong Solo - Manyar Kartika,"Jl. Manyar Kartika VIII No.24, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.7,"['Restoran Mie', 'Kedai Sarapan & Makan Siang']","{'lat': -7.2898158, 'lng': 112.7654762}"
Warung Pangsit Mie Ayam Jakarta,"Jl. Arief Rahman Hakim, Gg.keputih 2 Stan, Pasar, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.5,['Restoran Mie'],"{'lat': -7.2896317, 'lng': 112.7847943}"
Mie Manyar 99,"Jl. Raya Manyar No.99, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60284, Indonesia",4.4,"['Restoran Mie', 'Restoran Keluarga']","{'lat': -7.29908, 'lng': 112.762283}"
Mie Restu Bang Karman,"Jl. Pucang Anom No.67, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60282, Indonesia",4.1,"['Restoran Mie', 'Restoran Dim Sum', 'Restoran Nasi Goreng']","{'lat': -7.2841903, 'lng': 112.7580239}"
""" STK "" Sedulur Tunggal Kopi (STK MULYOSARI)","Jl. Raya Mulyosari No.169, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.4,['Kedai Kopi'],"{'lat': -7.2701762, 'lng': 112.7968422}"
Rumah Kopi Baik,"Jl. Pucang Asri I, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur, Indonesia",4.7,['Kedai Kopi'],"{'lat': -7.2863371, 'lng': 112.7564996}"
Kedai Kopi 32,"Jl. Srikana No.32, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.7,['Kedai Kopi'],"{'lat': -7.2742503, 'lng': 112.7584447}"
Mokhabika Coffee,"Ruko RMI, Jl. Ngagel Jaya Sel. No.33 blok l, Baratajaya, Gubeng, Surabaya, East Java 60284, Indonesia",4.7,"['Kedai Kopi', 'Kafe', 'Pemasok mesin kopi', 'Grosir Kopi']","{'lat': -7.2961597, 'lng': 112.7609451}"
Kopi Mama Ury,"Jl. Manyar Indah II No.01, RT.012/RW.06, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.4,['Kedai Kopi'],"{'lat': -7.290388, 'lng': 112.771572}"
Distrik Kopi,"Jl. Nginden Semolo No.84, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.6,"['Kedai Kopi', 'Bar']","{'lat': -7.30024, 'lng': 112.7702735}"
Kopi Kenangan - Ruko Manyar,"Jl. Manyar Kertoarjo No.33, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.5,['Kedai Kopi'],"{'lat': -7.2798013, 'lng': 112.7674377}"
Philip’s Coffee San Antonio,"Blk. N 1 Jl. Kalisari Utara I No.66, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.5,['Kedai Kopi'],"{'lat': -7.2654712, 'lng': 112.8047539}"
UD. Kopi Gepeng,"MQVX+JJ9, Jl. Medokan Semampir, Medokan Semampir, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.5,['Kedai Kopi'],"{'lat': -7.3059704, 'lng': 112.7991131}"
H+N Coffee,"Jl. Kejawan Gebang No.23, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.9,['Kedai Kopi'],"{'lat': -7.2855343, 'lng': 112.8014487}"
WARMINDO SURABAYA KOPI,"Jl. Raya Manyar No.101, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60284, Indonesia",4.4,['Kedai Kopi'],"{'lat': -7.2991994, 'lng': 112.7622788}"
Casa Coffee,"Ruko 21 Klampis, Blok F7, Klampis Ngasem, Sukolilo, Surabaya, East Java 60117, Indonesia",4.7,"['Kedai Kopi', 'Kafe']","{'lat': -7.2872316, 'lng': 112.7764247}"
Warung Kopi Stela,"Jl. Karang Menjangan II No.77, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.8,['Kedai Kopi'],"{'lat': -7.2715189, 'lng': 112.7624224}"
Rindu Kopi Senja - Nginden Semolo,"Jl. Nginden Semolo No.49, RT.001/RW.08, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",5.0,['Kedai Kopi'],"{'lat': -7.29963, 'lng': 112.7681773}"
Sult Cafe & Eatery,"Jl. Arief Rahman Hakim No.185, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.6,['Kafe'],"{'lat': -7.2901885, 'lng': 112.7885638}"
De Mandailing Cafe & Eatery - Kertajaya Indah,"Jl. Klampis Jaya No.144, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.5,"['Kafe', 'Kedai Kopi', 'Restoran']","{'lat': -7.2831208, 'lng': 112.7767691}"
BnD Cafe,"Jl. Semolo Waru No.19, Medokan Semampir, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.7,"['Kafe', 'Kedai Kopi', 'Restoran']","{'lat': -7.304145, 'lng': 112.7944034}"
Mojako - Semampir Tengah 4 A,"Jl. Semampir Tengah IV A, Medokan Semampir, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.5,"['Kafe', 'Kedai Kopi']","{'lat': -7.30745, 'lng': 112.7802829}"
Borre Cafe,"Jl. Raya Dharma Husada Indah No.4 (A-8, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.6,['Kafe'],"{'lat': -7.2693766, 'lng': 112.7737631}"
"Konoae Warung A La Cafe, Keputih","Jl. Arief Rahman Hakim No.40, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.6,['Kafe'],"{'lat': -7.2903189, 'lng': 112.7965437}"
Rodah Coffee Bar and Tea Cafe,"Jl. Rodah Sekolahan No.1, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.7,['Kafe'],"{'lat': -7.281795, 'lng': 112.787974}"
Deckside Lounge & Cafe,"Oakwood Hotel & Residence Surabaya, Jl. Raya Kertajaya Indah No.79, Manyar Sabrangan, Mulyorejo, Surabaya, East Java 60116, Indonesia",4.6,"['Kafe', 'Lounge']","{'lat': -7.2800527, 'lng': 112.7814105}"
HaHa Cafe mulyosari,"AA.2 ) - Sebelah KFC, Ruko Central Park, Jl. Raya Mulyosari, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.5,['Kafe'],"{'lat': -7.2660219, 'lng': 112.7961642}"
