title,address,totalScore,categories,location
Warung Mak Eco,"Jl. Mulyorejo Selatan No.68, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60116, Indonesia",4.6,['Restoran Jawa'],"{'lat': -7.2780859, 'lng': 112.7773461}"
Warung Emak Keputih,"Jl. KH. Ahmad Dahlan No.48, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.8,['Restoran Indonesia'],"{'lat': -7.2890043, 'lng': 112.8002679}"
Bakso Ambon Nginden,"MQW8+FG2, Jl. Nginden Permata Jl. Nginden Kota II, Jangkungan, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.7,"['Restoran Bakso', 'Restoran Mie']","{'lat': -7.30387, 'lng': 112.766254}"
Bakso Pak.No,"Jl. Manyar Sabrangan No.53, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60116, Indonesia",4.7,"['Restoran Bakso', 'Rumah Makan']","{'lat': -7.2823222, 'lng': 112.7640603}"
Bakso Merr99,"Jl. Semampir Tengah No.38, Medokan Semampir, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.5,['Restoran Bakso'],"{'lat': -7.3072864, 'lng': 112.7815193}"
PRODUSEN BAKSO,"Jl. Nginden I No.23, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",5.0,['Restoran Bakso'],"{'lat': -7.3007494, 'lng': 112.7635012}"
Bakso & Mie Ayam Cak Nur,"Jl. Raya Mulyosari No.404, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.5,"['Restoran Bakso', 'Restoran Dim Sum', 'Restoran Mie']","{'lat': -7.2735086, 'lng': 112.7975547}"
Bakso Unyil,"PR55+4R2, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.5,['Restoran Bakso'],"{'lat': -7.292248, 'lng': 112.809519}"
Bakso super urat mbok'e nindi,"no 29b, Jl. Raya Nginden No.29b ll F, RW.01, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.3,['Restoran Bakso'],"{'lat': -7.3014359, 'lng': 112.7641554}"
Bakso Cak Nur 1,"Jl. Ngagel Jaya Tengah No.114, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",4.3,['Restoran Bakso'],"{'lat': -7.291864, 'lng': 112.7616669}"
Bakso Cak Mus Airlangga,"Jl. Karang Menjangan No.81, RT.005/RW.07, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.7,"['Restoran Bakso', 'Rumah Makan']","{'lat': -7.2704534, 'lng': 112.7605999}"
Bakso Pak Nan,"Jl. Raya Manyar Tirtoasri No.17, RT.006/RW.04, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.6,['Restoran Bakso'],"{'lat': -7.2868198, 'lng': 112.7684323}"
BAKSO SOLMED 168,"Pakuwon City, Ruko San Diego MR2-10, Jl. Kalisari Permai I No.87, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.3,['Restoran Bakso'],"{'lat': -7.2692533, 'lng': 112.8073758}"
Warung Larris San Antonio,"Ruko San Antonio N1, Jl. Kalisari Utara I No.150, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.8,['Restoran'],"{'lat': -7.2649354, 'lng': 112.8064728}"
Warung Mbak Lies,"Jl. Manyar Sabrangan IV No.1, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60116, Indonesia",4.6,['Restoran Jawa'],"{'lat': -7.2872849, 'lng': 112.763318}"
Warung Sari Laut Bu Mis Santoso,"Gg. 19 No.22, RW.no 2, Kejawaan Putih Tamba, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.6,['Restoran Seafood'],"{'lat': -7.2843193, 'lng': 112.8016624}"
Warung Bibik Pojok,"Jl. Raya Menur No.108, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60282, Indonesia",4.0,['Restoran'],"{'lat': -7.2821104, 'lng': 112.7620481}"
WARUNG Oemik Ika SURABAYA,"Jl. Manyar Jaya V No.A24, RT.001/RW.08, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.6,['Restoran'],"{'lat': -7.2976671, 'lng': 112.768663}"
Warung Damai,"PQJ8+GQP, Jl. Mojo Kidul, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.8,"['Rumah Makan', 'Warung Makanan Kecil']","{'lat': -7.268668, 'lng': 112.766948}"
